,svcscan.nservices,svcscan.kernel_drivers,dlllist.avg_dlls_per_proc,pslist.avg_handlers,handles.nmutant,handles.nkey,handles.nsemaphore,dlllist.ndlls,svcscan.process_services,pslist.avg_threads,ldrmodules.not_in_load,ldrmodules.not_in_load_avg,malfind.uniqueInjections,svcscan.nactive,malfind.commitCharge,ldrmodules.not_in_init_avg,callbacks.ncallbacks,pslist.nppid,psxview.not_in_ethread_pool_false_avg,malfind.ninjections
9434,0.8605696350089129,0.33212590846507106,1.0307490798392807,0.3599030307211536,0.2776736532943738,0.18704822182651548,0.48102034420216727,0.5280707590960104,1.269722931754303,0.9891712783708284,0.16953200395579268,-0.0047414058805671415,-0.08558561128625265,-9.25126445187877e-05,-0.15979851226351344,-0.3331823399358134,0.35028379579323476,-1.0176337502987316,-0.5728496947858461,-0.26072566073325504
26912,0.8605696350089129,0.33212590846507106,1.5875995968373227,0.5256325336990761,1.8215824079788017,1.0325157042431308,1.0194609674999913,1.0737847627358936,1.269722931754303,1.6366912177264736,1.4477470053521877,0.7696225848853682,-0.1961809088473396,0.3612927143842522,-0.15930504912166732,0.2686137049895247,0.35028379579323476,-1.0176337502987316,-0.7166327543070566,-0.06552911787400295
47022,-0.5569767395126958,-0.23112195106275452,-0.8478464066917689,-0.33065013362297874,-0.6104154533825095,-0.6121827576454411,-0.3424770796650931,-0.5421350369310938,-0.698320322847249,-0.8467000831462456,-0.6826113303084707,-0.47949825973309035,-0.26991110722139755,-9.25126445187877e-05,-0.15996299997746213,-0.21305825633777,0.02904926167206167,0.8577928045693801,0.5887973986315689,-0.26072566073325504
19371,0.8605696350089129,0.33212590846507106,1.0700466278907892,0.26605384021260714,0.9471562106354089,0.543729815971025,1.0194609674999913,1.2678164084745187,1.269722931754303,0.6242592630311083,1.394488046960671,0.6213452361222264,-0.18465508719765383,0.3612927143842522,-0.15946953683561602,0.2428162357573735,0.35028379579323476,-1.0176337502987316,-0.7166327543070566,-0.1305946321604203
17129,0.8605696350089129,0.33212590846507106,1.0307490798392807,0.3635933449463509,0.2776736532943738,0.18704822182651548,0.48102034420216727,0.5280707590960104,1.269722931754303,0.9370312053917105,0.16953200395579268,-0.0047414058805671415,-0.08558561128625265,-9.25126445187877e-05,-0.15979851226351344,-0.3331823399358134,0.35028379579323476,-1.0176337502987316,-0.7166327543070566,-0.26072566073325504
37131,-0.5569767395126958,-0.23112195106275452,-0.7804860747533463,-0.26480666861387625,-1.129606008055149,-0.7112609782411381,-0.9442636586450142,-1.087849040570977,-0.698320322847249,-0.7785963346494403,-1.0021650806575693,-0.47720621003151337,-0.26991110722139755,-0.7228629667020607,-0.15996299997746213,-0.20095140700637437,-0.29218527244911147,0.10762218262213541,0.053236303702604806,-0.26072566073325504
42761,-0.5569767395126958,-0.23112195106275452,-0.8021536478039036,-0.26189087882185236,-0.43279763204713284,-0.6452088311773401,0.005925676586440132,-0.5087858478197677,-0.698320322847249,-0.5617183325306269,-0.735870288699987,-0.557425020182301,3.5640592082296165,-9.25126445187877e-05,2.8751642978040546,-0.35431628684536387,0.02904926167206167,0.48270749359575776,-0.3591935439771417,3.2528121107332826
36233,-0.5569767395126958,-0.23112195106275452,-0.6081990687570809,-0.21837066508344027,-0.7333816373839241,-0.7574974811857967,-0.45861133174893753,-0.7331349382050529,-0.698320322847249,0.04170456903616331,-0.7891292470915036,-0.4886867551270417,-0.26991110722139755,0.3612927143842522,-0.15996299997746213,-0.3057697192794063,0.02904926167206167,0.10762218262213541,0.6798739195331059,-0.26072566073325504
16495,0.8605696350089129,0.33212590846507106,1.0976893042416593,0.4142179715612456,0.2503478346273928,-0.05073950760315753,0.5654816184449633,0.5735469260660008,1.269722931754303,1.0650823059537775,0.11627304556427624,-0.10135180298564266,-0.08558561128625265,0.7226779414130232,-0.15979851226351344,-0.3459864988158898,0.35028379579323476,-1.0176337502987316,-0.2292268144777694,-0.26072566073325504
18074,0.8605696350089129,0.33212590846507106,1.1685112298115619,0.3677421102855414,0.6465722052986177,0.18704822182651548,0.6816158705288076,0.776673805198624,1.269722931754303,1.1630544705231942,0.7553805462624738,0.3293486918458189,-0.14702744338751797,0.3612927143842522,-0.15963402454956474,-0.04808669563990597,0.35028379579323476,-1.0176337502987316,-0.6458330647834962,-0.19566014644683766
35750,-0.5569767395126958,-0.23112195106275452,-0.8134926380661343,-0.26854432469031936,-1.129606008055149,-0.7244714076538977,-0.9231483400843151,-1.1090712518236392,-0.698320322847249,-0.8296741444471456,-0.9489061222660529,-0.3996625738294809,-0.26991110722139755,-1.4456334207596027,-0.15996299997746213,-0.12477101263507738,-0.29218527244911147,0.10762218262213541,1.3781272564531875,-0.26072566073325504
34917,-0.5569767395126958,-0.23112195106275452,-0.7737154974846071,-0.287204416024674,-0.7060558187169431,-0.5659462547007824,-0.8175717472808203,-0.8453094833976956,-0.698320322847249,-0.814394460232289,-0.8956471638745365,-0.5214918995686355,-0.26991110722139755,-0.3614777396732898,-0.15996299997746213,-0.25900464092071396,0.02904926167206167,0.10762218262213541,1.567870005829315,-0.26072566073325504
34273,-0.5569767395126958,-0.23112195106275452,-0.8182078601503662,-0.2716223934911371,-1.129606008055149,-0.7244714076538977,-0.9231483400843151,-1.1121029962883051,-0.698320322847249,-0.8296741444471456,-0.9489061222660529,-0.3912551831950683,-0.26991110722139755,-1.4456334207596027,-0.15996299997746213,-0.11055933577863311,0.02904926167206167,0.10762218262213541,0.40930074922470744,-0.26072566073325504
51339,-0.5569767395126958,-0.23112195106275452,-0.8345539687259101,-0.35854121156723623,-0.4191347227136423,-0.15642294290523442,-0.18411219045985072,-0.17832570117117166,-0.698320322847249,-1.028688430181242,-0.5228344551339212,-0.5078344931374895,-0.1961809088473396,-9.25126445187877e-05,-0.15914056140771862,-0.23801566200955,0.02904926167206167,0.8577928045693801,-0.7166327543070566,-0.06552911787400295
7293,0.8605696350089129,0.33212590846507106,1.0307490798392807,0.36253235252756594,0.2776736532943738,0.18704822182651548,0.48102034420216727,0.5280707590960104,1.269722931754303,0.8541910057958727,0.16953200395579268,-0.0047414058805671415,-0.08558561128625265,0.3612927143842522,-0.15979851226351344,-0.3331823399358134,0.35028379579323476,-1.0176337502987316,-0.7166327543070566,-0.26072566073325504
